,name,id,link
0,A. Seymour Brown,ba9ffe2e-6cfd-4c17-bb4a-8e57895c5789,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/ba9ffe2e-6cfd-4c17-bb4a-8e57895c5789
1,A. Willemetz,215b8096-2128-409e-9383-3109a468c60e,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/215b8096-2128-409e-9383-3109a468c60e
2,A.G. Delamater,ba593f39-5dd8-4298-938f-cd9ea1ac4e2a,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/ba593f39-5dd8-4298-938f-cd9ea1ac4e2a
3,Adrian Ross,c5680332-05b7-4129-8e11-6a8eb0c935a4,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/c5680332-05b7-4129-8e11-6a8eb0c935a4
4,Albert Stillman,80dc4abf-b93a-46f1-a03d-2174c87b861d,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/80dc4abf-b93a-46f1-a03d-2174c87b861d
5,Alf. J. Lawrence,24c4308b-9b37-4380-bd90-e798aa4ce7ea,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/24c4308b-9b37-4380-bd90-e798aa4ce7ea
6,Alfred Bryan,dcdba945-fa0f-4110-b87e-85fe31f193cc,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/dcdba945-fa0f-4110-b87e-85fe31f193cc
7,Alice Duer Miller,6eb3d2fb-2e03-4a29-960d-3eeff25f818b,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/6eb3d2fb-2e03-4a29-960d-3eeff25f818b
8,Andrew B. Sterling,2ecb20fd-e8db-413f-9ec1-86f5b5b6713d,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/2ecb20fd-e8db-413f-9ec1-86f5b5b6713d
9,Anne Caldwell,881a3d6e-2f89-4b3d-b3f9-e02544ced957,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/881a3d6e-2f89-4b3d-b3f9-e02544ced957
10,Arthur Fields,f3230a48-596f-46a1-af41-1e063d7a9224,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/f3230a48-596f-46a1-af41-1e063d7a9224
11,Arthur Freed,87ea9eac-fc38-48f2-b683-0e4c83313323,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/87ea9eac-fc38-48f2-b683-0e4c83313323
12,Arthur Hammerstein,5fe95bdd-4865-4e93-995f-e05d2b753f4b,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/5fe95bdd-4865-4e93-995f-e05d2b753f4b
13,Arthur Jackson,7aa4284d-e9ce-4509-9360-58c97c8a7d94,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/7aa4284d-e9ce-4509-9360-58c97c8a7d94
14,Arthur Pinero,950d8880-2885-4a11-9d40-6d779dfa3fd3,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/950d8880-2885-4a11-9d40-6d779dfa3fd3
15,B.G. De Sylva,72cadec8-ecd8-48a5-9a4b-062eba7d4c1e,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/72cadec8-ecd8-48a5-9a4b-062eba7d4c1e
16,Ballard Macdonald,e88dd2c3-47d1-40f3-9b5a-ae310245155d,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/e88dd2c3-47d1-40f3-9b5a-ae310245155d
17,Bernard Dougall,3d895ac4-f729-4d51-928a-d0fea85c0433,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/3d895ac4-f729-4d51-928a-d0fea85c0433
18,Bert Kalmar,0a3e2a2e-db5b-4414-b2b1-2cc6d1243496,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/0a3e2a2e-db5b-4414-b2b1-2cc6d1243496
19,Berton Braley,55a18d9a-074a-4fa7-9a99-9046a37f4bf2,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/55a18d9a-074a-4fa7-9a99-9046a37f4bf2
20,Bessie Mccoy,4fe6b26c-39fd-474a-a7e0-71dc847ab888,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/4fe6b26c-39fd-474a-a7e0-71dc847ab888
21,Billy Rose,e8ed3f60-d300-496b-92cb-f4cb102aa389,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/e8ed3f60-d300-496b-92cb-f4cb102aa389
22,Booth Tarkington,ca310083-38c8-431e-bb72-1339356095c5,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/ca310083-38c8-431e-bb72-1339356095c5
23,Brian Hooker,88800ae8-29d6-4034-a477-cb160848e6f5,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/88800ae8-29d6-4034-a477-cb160848e6f5
24,C.H. Bovill,5317db1b-ba90-486f-9060-c2ea49c7868b,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/5317db1b-ba90-486f-9060-c2ea49c7868b
25,Charles H. Taylor,2b239914-df52-40a8-9ff9-40f5214c9528,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/2b239914-df52-40a8-9ff9-40f5214c9528
26,Clarke & Leslie,50f64207-0ce9-4eeb-952e-3b0a97e7066e,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/50f64207-0ce9-4eeb-952e-3b0a97e7066e
27,Clifford Grey,3ccb9e17-3981-4cac-b0db-d7a9e6573d92,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/3ccb9e17-3981-4cac-b0db-d7a9e6573d92
28,Cole Porter,f1d7b2a0-1ef8-4106-b4cb-7c849ccd431e,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/f1d7b2a0-1ef8-4106-b4cb-7c849ccd431e
29,D. Eardley-Wilmot,675b7514-3412-405a-a8d1-dbfdafc4e921,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/675b7514-3412-405a-a8d1-dbfdafc4e921
30,Dabney & Europe,dc8fb293-f91b-455b-b261-2777dd8fa6ae,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/dc8fb293-f91b-455b-b261-2777dd8fa6ae
31,Desmond Carter,75e9a4b1-e839-472f-bd10-577cf8f3db18,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/75e9a4b1-e839-472f-bd10-577cf8f3db18
32,Dorothy Donnelly,ade5d711-827c-4c4b-9488-17a8f8983e9c,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/ade5d711-827c-4c4b-9488-17a8f8983e9c
33,Dorothy Fields,50a9069f-3d7c-4c9f-be63-671b3a14c0ac,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/50a9069f-3d7c-4c9f-be63-671b3a14c0ac
34,Dorothy Terriss,3a0af825-7b2e-4c9e-8868-2f7dee036dc2,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/3a0af825-7b2e-4c9e-8868-2f7dee036dc2
35,Du Bose Heyward,bc7f07da-e8fe-4df1-afc2-5cf95d99f36d,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/bc7f07da-e8fe-4df1-afc2-5cf95d99f36d
36,Dubose Heyward,c073213f-4ef3-463a-b845-ef72371cfcaf,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/c073213f-4ef3-463a-b845-ef72371cfcaf
37,Dudley Wilkinson,dba3239f-a2f3-4932-8800-9aa824a65644,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/dba3239f-a2f3-4932-8800-9aa824a65644
38,E. Ray Goetz,16a36178-6c12-43a5-9011-445d4193d589,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/16a36178-6c12-43a5-9011-445d4193d589
39,E.Y. Harburg,43684581-4545-496f-ac2d-01c4af86ceb7,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/43684581-4545-496f-ac2d-01c4af86ceb7
40,Earl Haubrich,ffa216fb-b60b-46c5-9e90-8d16d70dc9c6,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/ffa216fb-b60b-46c5-9e90-8d16d70dc9c6
41,Earle C. Jones,730cf15f-48d9-4af1-93db-2f4c8ff229d9,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/730cf15f-48d9-4af1-93db-2f4c8ff229d9
42,Edgar Allan Woolf,a28d30ff-c14b-4392-a37b-47737d92c1c9,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/a28d30ff-c14b-4392-a37b-47737d92c1c9
43,Edgar Leslie,ae5a21f0-2e60-4bb4-8213-3afc99410b7c,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/ae5a21f0-2e60-4bb4-8213-3afc99410b7c
44,Edward Laska,a84e554d-ee5a-4fdc-b926-f2f13f16374b,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/a84e554d-ee5a-4fdc-b926-f2f13f16374b
45,Edward Madden,70bc5b57-1ebd-48c2-ba54-0114ab4a1490,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/70bc5b57-1ebd-48c2-ba54-0114ab4a1490
46,Egbert Van Alstyne,f1993cab-f93a-4157-b1c9-593a476b0545,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/f1993cab-f93a-4157-b1c9-593a476b0545
47,Elsie Janis,0f7c0514-d5d3-4312-a2a3-ea8a8ea88db9,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/0f7c0514-d5d3-4312-a2a3-ea8a8ea88db9
48,Eugene West,0344fc63-4225-465c-88be-3c68f57576bf,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/0344fc63-4225-465c-88be-3c68f57576bf
49,F. Clifford Harris,6645fb7f-d41f-474b-ac6c-b9d82dc46871,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/6645fb7f-d41f-474b-ac6c-b9d82dc46871
50,Frank Craven,53b082ab-a404-4d3f-b9e6-8db9dd022638,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/53b082ab-a404-4d3f-b9e6-8db9dd022638
51,Frank Loesser,8c8d1f7c-ce3e-446b-ad8b-21c97dca5b7b,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/8c8d1f7c-ce3e-446b-ad8b-21c97dca5b7b
52,Franklin P. Adams,5a3a199d-370c-41a1-81a9-4e52afc10b64,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/5a3a199d-370c-41a1-81a9-4e52afc10b64
53,Fred E. Ahlert,d968fab2-1aed-47fb-ad01-8e28f39a7c75,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/d968fab2-1aed-47fb-ad01-8e28f39a7c75
54,Fred Ebb,0fa8341a-69a5-4a3b-be68-c73ef264fa34,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/0fa8341a-69a5-4a3b-be68-c73ef264fa34
55,Fred Ziemer,227e8022-9545-4b20-a23a-af069c5d1d45,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/227e8022-9545-4b20-a23a-af069c5d1d45
56,Frederick Day,e2818c2a-7fde-44bd-94cd-74cf04d98b07,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/e2818c2a-7fde-44bd-94cd-74cf04d98b07
57,Gene Buck,c4d97d5e-4f49-444e-9e24-654ec437cf5f,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/c4d97d5e-4f49-444e-9e24-654ec437cf5f
58,Gene De Paul,dc1dd78c-4869-4076-b37a-4a4cf6b37c47,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/dc1dd78c-4869-4076-b37a-4a4cf6b37c47
59,Geo. Graff Jr.,f83b68e1-bf56-4bc7-bdda-dfd6ee6a9f85,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/f83b68e1-bf56-4bc7-bdda-dfd6ee6a9f85
60,Geo. Grossmith Jr.,df4f77cc-500b-4a38-8fe4-e241942f5cff,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/df4f77cc-500b-4a38-8fe4-e241942f5cff
61,George Arthurs,9bbb8e83-ab2f-441a-aace-92e2aa8852af,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/9bbb8e83-ab2f-441a-aace-92e2aa8852af
62,George Grossmith,61025367-76fa-4ebd-abb7-6297bb907bee,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/61025367-76fa-4ebd-abb7-6297bb907bee
63,George M. Cohan,98562d69-4676-498f-ad46-1440d748b1fe,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/98562d69-4676-498f-ad46-1440d748b1fe
64,George V. Hobart,dc07141d-7792-4f10-ad62-3433bfa46289,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/dc07141d-7792-4f10-ad62-3433bfa46289
65,George Whiting,6430285e-e7c1-432b-808d-00d4f5c629b3,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/6430285e-e7c1-432b-808d-00d4f5c629b3
66,Graham John,b66b300c-5d00-4e13-9d98-34359abd012c,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/b66b300c-5d00-4e13-9d98-34359abd012c
67,Grant Clarke,6cf6ee46-8b31-4155-b711-289e5cfaf91a,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/6cf6ee46-8b31-4155-b711-289e5cfaf91a
68,Gus Edwards,7c28981c-4c8b-4676-8b22-301665770caa,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/7c28981c-4c8b-4676-8b22-301665770caa
69,Gus Kahn,4c26504e-69a5-45f8-8d32-c07c15ea62e2,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/4c26504e-69a5-45f8-8d32-c07c15ea62e2
70,Guy Bolton,2f4591cb-6919-4dc1-8f76-b4f5c6015919,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/2f4591cb-6919-4dc1-8f76-b4f5c6015919
71,Harold Atteridge,541fc568-47f1-404a-ada9-5cfd63d6361b,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/541fc568-47f1-404a-ada9-5cfd63d6361b
72,Harold Robe,10c916c6-cf8a-4340-9201-d851536d4363,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/10c916c6-cf8a-4340-9201-d851536d4363
73,Harry Akst,41dee65a-4faf-425e-a2af-ea0999a5d3db,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/41dee65a-4faf-425e-a2af-ea0999a5d3db
74,Harry B. Smith,4d099990-53ae-4fc1-b0a0-eb04e305a2d8,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/4d099990-53ae-4fc1-b0a0-eb04e305a2d8
75,Harry Clarke,8d7b35cc-0431-45b4-b36d-9fd23d7fda3f,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/8d7b35cc-0431-45b4-b36d-9fd23d7fda3f
76,Harry Graham,23f93d43-3eff-47d7-97e0-571883f71380,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/23f93d43-3eff-47d7-97e0-571883f71380
77,Harry Marlow,ea1c3d27-c8ca-4397-a93b-e3d305292b43,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/ea1c3d27-c8ca-4397-a93b-e3d305292b43
78,Harry Owens,ab0dde62-507c-4b68-a3ff-611135358c48,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/ab0dde62-507c-4b68-a3ff-611135358c48
79,Harry Revel,70d9d925-626f-4e3a-b74d-c742bfeb1666,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/70d9d925-626f-4e3a-b74d-c742bfeb1666
80,Harry Ruby,f44a5207-4153-421d-89b1-a87dfc6bee41,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/f44a5207-4153-421d-89b1-a87dfc6bee41
81,Henrich Berte,88240700-37dc-4e5e-81d8-993eeeadcc84,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/88240700-37dc-4e5e-81d8-993eeeadcc84
82,Henry Blossom,93acd3ab-7960-4f2b-84e2-1dbf7de73b1b,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/93acd3ab-7960-4f2b-84e2-1dbf7de73b1b
83,Henry Fink,bd046611-1692-409f-9249-b6fb901f8ce3,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/bd046611-1692-409f-9249-b6fb901f8ce3
84,Herb Magidson,813e4b06-c0f8-42d1-8ae1-ab0e42de0054,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/813e4b06-c0f8-42d1-8ae1-ab0e42de0054
85,Herbert Reynolds,1ce7ea4e-a914-401d-a2b8-4d4a20012ee4,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/1ce7ea4e-a914-401d-a2b8-4d4a20012ee4
86,Herbert Stothart,ad5e3302-22cb-4c9a-93a7-19494dbf65a8,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/ad5e3302-22cb-4c9a-93a7-19494dbf65a8
87,Howard Dietz,06573eed-a3db-4139-a418-df4631cc873d,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/06573eed-a3db-4139-a418-df4631cc873d
88,Ira Gershwin,9c808a20-1903-40fe-8e4a-d3bfdea5d3d8,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/9c808a20-1903-40fe-8e4a-d3bfdea5d3d8
89,Irving Berlin,d82712b8-8b00-43d9-8a66-89d98c7e3db4,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/d82712b8-8b00-43d9-8a66-89d98c7e3db4
90,Irving Caesar,83750cb7-2edf-4654-acb1-3a931e06925d,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/83750cb7-2edf-4654-acb1-3a931e06925d
91,Irving Kahal,159690e2-71d9-4674-a7b5-4b34d763d5f1,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/159690e2-71d9-4674-a7b5-4b34d763d5f1
92,J. Keirn Brennan,a3fe0cdd-cf90-41b1-83a7-3852fb1ad464,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/a3fe0cdd-cf90-41b1-83a7-3852fb1ad464
93,J. Will Callahan,f723776d-9cc4-457e-a469-6a169824cb37,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/f723776d-9cc4-457e-a469-6a169824cb37
94,J.W. Johnson,1d5c1e25-ab76-41c8-8635-39ca41e79b69,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/1d5c1e25-ab76-41c8-8635-39ca41e79b69
95,Jack Brooks,856d7efd-cfdb-493b-bc5b-6b58cc7d759a,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/856d7efd-cfdb-493b-bc5b-6b58cc7d759a
96,Jack Hoins,746bc1db-9256-4989-b88a-09266e7809e5,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/746bc1db-9256-4989-b88a-09266e7809e5
97,Jack Norworth,ae5ac687-a1dc-4435-84f6-d074bdbc97a0,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/ae5ac687-a1dc-4435-84f6-d074bdbc97a0
98,James Duffy,15d7dbfa-2eb4-4ae9-b9b2-42692bffe3dd,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/15d7dbfa-2eb4-4ae9-b9b2-42692bffe3dd
99,James Heard,e05f555a-84b1-41b4-a88e-5557eabd9944,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/e05f555a-84b1-41b4-a88e-5557eabd9944
100,James O'Dea,e4c776d4-2b50-4776-a93b-332e589e51e5,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/e4c776d4-2b50-4776-a93b-332e589e51e5
101,Jerome Kern,35e920df-b793-4bca-b888-1e55a346074a,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/35e920df-b793-4bca-b888-1e55a346074a
102,Jimmy Kennedy,4dac837c-7ad9-465d-8156-0cfe64ecb92b,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/4dac837c-7ad9-465d-8156-0cfe64ecb92b
103,Jimmy Mchugh,4e23f41f-408f-428c-8011-0d125eccc7d3,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/4e23f41f-408f-428c-8011-0d125eccc7d3
104,Joe Goodwin,4c8a9b08-79a5-4a7b-b6d6-ad78f860492d,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/4c8a9b08-79a5-4a7b-b6d6-ad78f860492d
105,Joe Mccarthy,3544dfbd-fad1-4d38-bd20-7390fc7e7958,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/3544dfbd-fad1-4d38-bd20-7390fc7e7958
106,John E. Hazzard,aefd9c3b-75a5-4996-af7e-b6f32ad14180,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/aefd9c3b-75a5-4996-af7e-b6f32ad14180
107,John Golden,1d11fe5c-c5af-4df3-8bec-bc925da833b6,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/1d11fe5c-c5af-4df3-8bec-bc925da833b6
108,John H. Wagner,260eab63-7412-4473-ab71-8d0a8d77928d,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/260eab63-7412-4473-ab71-8d0a8d77928d
109,John Henry Mears,98730a94-4704-4035-ab03-42a35f37c76a,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/98730a94-4704-4035-ab03-42a35f37c76a
110,John L. Golden,1eb7742e-abd8-4347-b962-4158e1054882,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/1eb7742e-abd8-4347-b962-4158e1054882
111,Johnny Mercer,8099a8e2-3dc7-44dd-a513-c2a35e635ccc,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/8099a8e2-3dc7-44dd-a513-c2a35e635ccc
112,Joseph Mccarthy,2a851b98-6f0d-4c61-af78-ffe94f546aec,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/2a851b98-6f0d-4c61-af78-ffe94f546aec
113,June Carroll,8d2321cc-b6b7-498a-afc6-30ef17d7e461,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/8d2321cc-b6b7-498a-afc6-30ef17d7e461
114,Junie Mccree,6cd82aed-1179-4676-9c81-7a68f4b28542,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/6cd82aed-1179-4676-9c81-7a68f4b28542
115,Kim Gannon,a84a33cf-617a-4964-aa75-e2422ac4016d,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/a84a33cf-617a-4964-aa75-e2422ac4016d
116,L Wolfe Gilbert,27739e29-6945-4fa9-8eed-3170677b12bc,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/27739e29-6945-4fa9-8eed-3170677b12bc
117,L.W. Heiser,b87def2b-2d80-4163-99d7-3d2c948ae598,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/b87def2b-2d80-4163-99d7-3d2c948ae598
118,Leo Robin,5f777d8d-ea7e-43d5-991b-89564a69b487,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/5f777d8d-ea7e-43d5-991b-89564a69b487
119,Lew Brown,2aba14a4-32a0-4fcf-aca6-9b84883ec598,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/2aba14a4-32a0-4fcf-aca6-9b84883ec598
120,Lew Porter,11f909a6-81c3-48e4-9b61-807a0841a604,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/11f909a6-81c3-48e4-9b61-807a0841a604
121,Lorenz Hart,4fb90828-fbec-40c6-ac93-de78c3d32439,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/4fb90828-fbec-40c6-ac93-de78c3d32439
